rank,symbol,name,last_price,indices
1,360ONE,360 ONE WAM Ltd.,1180.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
2,3MINDIA,3M India Ltd.,,Nifty 500|Nifty Midcap 150
3,ABB,ABB India Ltd.,7649.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
4,ACC,ACC Ltd.,,Nifty 500|Nifty Midcap 150
5,ACMESOLAR,ACME Solar Holdings Ltd.,,Nifty 500|Nifty Smallcap 250
6,AIAENG,AIA Engineering Ltd.,,Nifty 500|Nifty Midcap 150
7,APLAPOLLO,APL Apollo Tubes Ltd.,2083.3,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
8,AUBANK,AU Small Finance Bank Ltd.,1081.9,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
9,AWL,AWL Agri Business Ltd.,,Nifty 500|Nifty Midcap 150
10,AADHARHFC,Aadhar Housing Finance Ltd.,,Nifty 500|Nifty Smallcap 250
11,AARTIIND,Aarti Industries Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
12,AAVAS,Aavas Financiers Ltd.,,Nifty 500|Nifty Smallcap 250
13,ABBOTINDIA,Abbott India Ltd.,,Nifty 500|Nifty Midcap 150
14,ACE,Action Construction Equipment Ltd.,,Nifty 500|Nifty Smallcap 250
15,ACUTAAS,Acutaas Chemicals Ltd.,,Nifty 500|Nifty Smallcap 250
16,ADANIENSOL,Adani Energy Solutions Ltd.,1616.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
17,ADANIENT,Adani Enterprises Ltd.,3035.1,Nifty 100|Nifty 200|Nifty 50|Nifty 500
18,ADANIGREEN,Adani Green Energy Ltd.,1348.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
19,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,1700.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
20,ADANIPOWER,Adani Power Ltd.,205.25,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
21,ATGL,Adani Total Gas Ltd.,654.05,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
22,ABCAPITAL,Aditya Birla Capital Ltd.,401.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
23,ABFRL,Aditya Birla Fashion and Retail Ltd.,,Nifty 500|Nifty Smallcap 250
24,ABLBL,Aditya Birla Lifestyle Brands Ltd.,,Nifty 500|Nifty Smallcap 250
25,ABREL,Aditya Birla Real Estate Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
26,ABSLAMC,Aditya Birla Sun Life AMC Ltd.,,Nifty 500|Nifty Smallcap 250
27,CPPLUS,Aditya Infotech Ltd.,,Nifty 500|Nifty Smallcap 250
28,AEGISLOG,Aegis Logistics Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
29,AEGISVOPAK,Aegis Vopak Terminals Ltd.,,Nifty 500|Nifty Smallcap 250
30,AFCONS,Afcons Infrastructure Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
31,AFFLE,Affle 3i Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
32,AJANTPHARM,Ajanta Pharmaceuticals Ltd.,,Nifty 500|Nifty Midcap 150
33,ALKEM,Alkem Laboratories Ltd.,5368.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
34,ABDL,Allied Blenders and Distillers Ltd.,,Nifty 500|Nifty Smallcap 250
35,ARE&M,Amara Raja Energy & Mobility Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
36,AMBER,Amber Enterprises India Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
37,AMBUJACEM,Ambuja Cements Ltd.,417.5,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
38,ANANDRATHI,Anand Rathi Wealth Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
39,ANANTRAJ,Anant Raj Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
40,ANGELONE,Angel One Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
41,ANTHEM,Anthem Biosciences Ltd.,,Nifty 500|Nifty Midcap 150
42,ANURAS,Anupam Rasayan India Ltd.,,Nifty 500|Nifty Smallcap 250
43,APARINDS,Apar Industries Ltd.,,Nifty 500|Nifty Midcap 150
44,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,8920.5,Nifty 100|Nifty 200|Nifty 50|Nifty 500
45,APOLLOTYRE,Apollo Tyres Ltd.,,Nifty 500|Nifty Midcap 150
46,APTUS,Aptus Value Housing Finance India Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
47,ASAHIINDIA,Asahi India Glass Ltd.,,Nifty 500|Nifty Smallcap 250
48,ASHOKLEY,Ashok Leyland Ltd.,171.64,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
49,ASIANPAINT,Asian Paints Ltd.,2696.3,Nifty 100|Nifty 200|Nifty 50|Nifty 500
