rank,symbol,name,last_price
1,RELIANCE,Reliance Industries,1310.0
2,BHARTIARTL,Bharti Airtel,1992.1
3,HDFCBANK,HDFC Bank,727.0
4,ICICIBANK,ICICI Bank,1417.0
5,SBIN,State Bank of India,1067.7
6,TCS,Tata Consultancy Services,2361.0
7,BAJFINANCE,Bajaj Finance,1087.0
8,LT,Larsen and Toubro,4057.0
9,HINDUNILVR,Hindustan Unilever,2077.0
10,INFY,Infosys,1169.2
11,SUNPHARMA,Sun Pharmaceutical,1930.0
12,TITAN,Titan Company,5056.2
13,M&M,Mahindra and Mahindra,3428.3
14,MARUTI,Maruti Suzuki,13834.0
15,ADANIPOWER,Adani Power,205.25
16,ADANIENT,Adani Enterprises,3035.1
17,ADANIPORTS,Adani Ports and SEZ,1700.0
18,KOTAKBANK,Kotak Mahindra Bank,391.15
19,AXISBANK,Axis Bank,1217.4
20,HCLTECH,HCL Technologies,1360.0
21,ITC,ITC,278.2
22,ULTRACEMCO,UltraTech Cement,11619.0
23,HAL,Hindustan Aeronautics,5029.9
24,NTPC,NTPC,340.0
25,BAJAJ-AUTO,Bajaj Auto,11700.0
26,BAJAJFINSV,Bajaj Finserv,2008.3
27,JSWSTEEL,JSW Steel,1270.0
28,ETERNAL,Eternal,318.5
29,BEL,Bharat Electronics,410.8
30,ONGC,Oil and Natural Gas Corp,236.4
31,NESTLEIND,Nestle India,1499.1
32,DMART,Avenue Supermarts,4060.0
33,ASIANPAINT,Asian Paints,2696.3
34,COALINDIA,Coal India,407.1
35,POWERGRID,Power Grid Corporation,266.05
36,HINDZINC,Hindustan Zinc,561.9
37,HINDALCO,Hindalco Industries,1029.5
38,TATASTEEL,Tata Steel,183.5
39,DIVISLAB,Divis Laboratories,8477.0
40,ADANIGREEN,Adani Green Energy,1348.0
41,EICHERMOT,Eicher Motors,8066.5
42,GRASIM,Grasim Industries,3248.7
43,SHRIRAMFIN,Shriram Finance,1122.0
44,INDIGO,InterGlobe Aviation,5310.0
45,TVSMOTOR,TVS Motor Company,4307.0
46,IOC,Indian Oil Corporation,139.4
47,ADANIENSOL,Adani Energy Solutions,1616.0
48,WIPRO,Wipro,184.0
49,SOLARINDS,Solar Industries India,19969.0
50,SBILIFE,SBI Life Insurance,1795.0
51,HYUNDAI,Hyundai Motor India,2199.0
52,MOTHERSON,Samvardhana Motherson,168.3
53,TMCV,Tata Motors,474.3
54,PIDILITIND,Pidilite Industries,1693.0
55,DLF,DLF,665.0
56,TORNTPHARM,Torrent Pharmaceuticals,4833.0
57,ABB,ABB India,7649.0
58,CHOLAFIN,Cholamandalam Investment,1894.4
59,TECHM,Tech Mahindra,1632.8
60,POWERINDIA,Hitachi Energy India,35700.0
61,JIOFIN,Jio Financial Services,249.05
62,TRENT,Trent,2978.0
