rank,symbol,name,last_price,indices
1,360ONE,360 ONE WAM Ltd.,1180.0,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Total Market
2,3MINDIA,3M India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
3,ABB,ABB India Ltd.,7649.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
4,ACC,ACC Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
5,ACMESOLAR,ACME Solar Holdings Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
6,AIAENG,AIA Engineering Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
7,APLAPOLLO,APL Apollo Tubes Ltd.,2083.3,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
8,ASKAUTOLTD,ASK Automotive Ltd.,,Nifty Microcap 250|Nifty Total Market
9,AUBANK,AU Small Finance Bank Ltd.,1081.9,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
10,AWL,AWL Agri Business Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
11,AXISCADES,AXISCADES Technologies Ltd.,,Nifty Microcap 250|Nifty Total Market
12,AADHARHFC,Aadhar Housing Finance Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
13,AARTIDRUGS,Aarti Drugs Ltd.,,Nifty Microcap 250|Nifty Total Market
14,AARTIIND,Aarti Industries Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Total Market
15,AARTIPHARM,Aarti Pharmalabs Ltd.,,Nifty Microcap 250|Nifty Total Market
16,AAVAS,Aavas Financiers Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
17,ABBOTINDIA,Abbott India Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
18,ACE,Action Construction Equipment Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
19,ACUTAAS,Acutaas Chemicals Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
20,ADANIENSOL,Adani Energy Solutions Ltd.,1616.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
21,ADANIENT,Adani Enterprises Ltd.,3035.1,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
22,ADANIGREEN,Adani Green Energy Ltd.,1348.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
23,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,1700.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500|Nifty Total Market
